Role,Industry,Skills,Specialisation,Job Function
"Configuration/ Release Manager, Database Administrator (DBA), Database Architect/ Designer, Delivery Manager/ Head","IT-Software,  Software Services","Java , Core Java , CSS , jQuery , Software Testing , Javascript , .net , HTML , Oracle , CCNA , SQL , Python","Application Programming,Business/Systems Analysis,Embedded Technologies,Software Engineer",IT Software : Software Products & Services
"Advertising - Account Executive/ Client Servicing Executive, Market Research - Field Executive, Fresher, Research Associate","Advertising/PR/Event Management,  Consulting Services","Branding , Sales , advertising , Media , marketing , management , fresher , pgdm , hospitality , cabin crew , journalism , content , creative , enthusiastic , event , internship , freelancer","Client Servicing,Business Strategy,Organization Structuring,Research Associate","Advertising/PR/Events,Corporate Planning/Consulting/Strategy"
System Administrator,IT-Software,"Hardware Networking , MS Outlook , IT Related issues , CCNA , MCSA , Desktop support , DNS , Group policy",Desktop Support,IT Software : Software Products & Services
Other Sales/ Business Development,"Banking,  Financial Services/Stockbroking","Sales , Banking , Field sales , casa , Current account , Saving account , Liability , Field work , Cross selling",Sales and Business Development,Sales/Business Development
"Architect, Design Engineer - Civil/ Structural, Quality Engineer - Civil/ Structural, Site/ Field Engineer - Civil/ Structural",Engineering/Projects,"civil , Engineering , Construction Civil Engineering , Site , Design Engineering , senior design engineer , site engineer , site supervisor , supervisor","Architecture,Bridge,Building/Residential,Civil","Engg. project Mgmt./site Engg./Civil Engg.,Architects/Interior Design/Naval Arch"
"Software Developer/ Programmer, Intern, Fresher, Web Designer","Engineering/Projects,  IT-Software","Ms-office , fresher  , web developer , traimnee , software engineer , test engineer , digital marketing","Teacher,Application Programming,Training","Teaching/Education,IT Software : Software Products & Services"
Software Quality Assurance Engineer,IT-Software,"Test Engineering , QA Testing , Automation Testing , Appium , Test Scenarios , Manual Testing , Selenium , Defect Reporting , Functional Testing , Test Cases",Quality Assurance/Testing,IT Software : Software Products & Services
Recruitment - Executive/ Officer,CRM/CallCentres/BPO/ITES/Med.Trans,"interviewing , hr coordinator , hr assistant , hiring , recruitment , hr manager , hr , hr executive , sourcing",Recruitment,HR/PM/IR/Training
"Architect, AutoCAD Designer, Interior Designer, Fresher",Architecture/Interior Design,"Architecture , AutoCAD , Interior Designing , Cad Design , Drawing , 3D Modeling , 3d Animation , 2d Animation , Flash Animation , 3Ds Max , Photoshop , Illustrator , Corel Draw","Architecture,Interior Designer",Architects/Interior Design/Naval Arch
Computer Operator/ Data Entry Operator,IT-Software,"Data Entry ,  Back Office ,  Computer Operator",Office Management & Coordination,Administration
Sales/ Business Development Manager,Advertising/PR/Event Management,"business development manager , business development executive , sales executive , sales officer , B2B Sales , Marketing , business analyst , business associate , bdo",Advertising/Media/Arts,Sales/Business Development
Design Engineer - Mechanical,Engineering/Projects,"Design ,  electronics ,  production ,  maintenance mechanical ,  b tech fresher  ,  diploma trainee , production engineering ,   manufacturing engineering",Design,Engg. project Mgmt./site Engg./Civil Engg.
Design Engineer - Civil/ Structural,Engineering/Projects,"quality assurance , Electrical Design , engineering , mechanical , production , civil",Design,Engg. project Mgmt./site Engg./Civil Engg.
Sales Executive/ Officer,Banking,"fresher , sales , field sales","Corporate Sales,FMCG Sales,Telesales,Others",Sales/Business Development
Customer Care Executive/ Associate - Voice,CRM/CallCentres/BPO/ITES/Med.Trans,"international call center , telesales , domestic call center , international BPO , Domestic BPO , Telecaller , CSR , CSE , Hindi , customer care , Day shift , E commerce","Any Process - Domestic BPO Type,Any Process - International BPO Type",Operations/Customer Service/Telecalling/Backend
"Customer Care Executive/ Associate - Voice, Telecalling/ Telemarketing/ Telesales - Executive, Other Customer Service, Operations/ Process - Manager",CRM/CallCentres/BPO/ITES/Med.Trans,"Non Voice , BPO ,  call center ,  customer Support ,  freshers ,  voice ,  non voice ,  customer care , domestic ,   day shift ,  graduate ,  HSC , domestic bpo , Kpo","Any Process - Domestic BPO Type,Any Process - International BPO Type",Operations/Customer Service/Telecalling/Backend
Customer Care Executive/ Associate - Voice,CRM/CallCentres/BPO/ITES/Med.Trans,"customer service executive , CSE , customer support executive , customer care executive","Any Process - Domestic BPO Type,Any Process - International BPO Type,Voice Process - Both BPO Type",Operations/Customer Service/Telecalling/Backend
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice",CRM/CallCentres/BPO/ITES/Med.Trans,Good communication skills,Any Process - International BPO Type,Operations/Customer Service/Telecalling/Backend
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Telecalling/ Telemarketing/ Telesales - Executive, Telecalling/ Telemarketing/ Telesales - Team Lead/ Manager",CRM/CallCentres/BPO/ITES/Med.Trans,"call center , Customer Service , customer service executive , customer care executive , cce , sales executive , tech support , technical support executive , bpo , Customer Care","Blended Process - Both BPO Type,Blended Process - Domestic BPO Type,Non Voice Process - Both BPO Type,Non-Voice Process - Domestic BPO Type",Operations/Customer Service/Telecalling/Backend
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Telecalling/ Telemarketing/ Telesales - Executive, Telecalling/ Telemarketing/ Telesales - Team Lead/ Manager",CRM/CallCentres/BPO/ITES/Med.Trans,"call center , Non-voice , executive , sales executive , technical support , Telecalling , bpo , kpo , customer care executive , cutomer service , medical billing , voice process","Any Process - Both BPO Type,Any Process - Domestic BPO Type,Blended Process - Domestic BPO Type,Blended Process - International BPO Type",Operations/Customer Service/Telecalling/Backend
Floor Supervisor,Manufacturing/Industrial,"Manpower Handling , basic computer knowledge , Ms Office",Production/Manufacturing/Maintenance,Production/Manufacturing/Maintenance/Packaging
Cardiologist,Healthcare,PGDCC,Cardiologist,Doctors/Nurses/Medical Professional
Gynaecologist,Healthcare,MD / MS WITH GOOD GYNEA OBS EXPERIENCE FRESHER CAN APLY,Gynaecology,Doctors/Nurses/Medical Professional
Cardiologist,Healthcare,DM / DNB CAN PERFORM ALL KIND OF CARDIOLOGY PROCEDURE,Cardiologist,Doctors/Nurses/Medical Professional
Cardiologist,Healthcare,PGDCC CAN PERFORM ECO TMT,Cardiologist,Doctors/Nurses/Medical Professional
Radiologist,Healthcare,MD / DNB / DMRD CAN PERFORM ALL KIND OF RADIOLOGY PROCEDURE,Radiology,Doctors/Nurses/Medical Professional
