Role,Industry,Skills,Specialisation,Job Function
Sales Executive/ Officer,"Insurance,  Real Estate","Real Estate Sales , Business Development , Sales , sales executive , area sales manager , field sales executive","Corporate Sales,Counter Sales,Direct/Commission Sales,Real Estate Sales",Sales/Business Development
"Database Architect/ Designer, Automation Engineer, Software Quality Assurance Engineer, Software Quality Assurance Manager",IT-Software,"QA Engineer  / software testing , Quality Assurance , test engineer , tester , software test engineer , qa , Functional Testing , Database Testing , Etl Testing","Application Programming,Quality Assurance/Testing",IT Software : Software Products & Services
"Database Administrator (DBA), Fresher, Management Trainee/ Trainee, Application Developer/ Programmer",IT-Software,"java , c ++ , Oracle , Erp , Data Warehousing , Microsoft Technologies , .net , embedded , Programming","Application Programming,Client Server,ERP/CRM,Systems Programming",IT Software : Software Products & Services
"Operations/ Process - Associate, Process Associate, Payroll - Executive/ Officer, HR Generalist","CRM/CallCentres/BPO/ITES/Med.Trans,  Recruitment/Placement Agencies","Payroll Processing , Human Resource Management , Marketing Management , Finance , Banking , Retail Banking , Corporate Banking","Technical Process,Admin/Facilities Mgmt,Compensation/Payroll,Recruitment","Operations/Customer Service/Telecalling/Backend,HR/PM/IR/Training"
"Configuration/ Release Manager, Tech Architect, Delivery Manager/ Head, Maintenance Engineer",IT-Software,"Dotnet Developer , .net programmer , Fresher , trainee , ASP .net c# , Vb , c ++ , Sql","Application Programming,Business/Systems Analysis,Client Server,Configuration/Release Mgmt",IT Software : Software Products & Services
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Telecalling/ Telemarketing/ Telesales - Executive, Telecalling/ Telemarketing/ Telesales - Team Lead/ Manager",CRM/CallCentres/BPO/ITES/Med.Trans,"call center , Customer Service , customer service executive , customer support executive , analyst , senior system analyst , kpo , Non Voice , Customer Care , process executive","Blended Process - Both BPO Type,Blended Process - Domestic BPO Type,Blended Process - International BPO Type,Non Voice Process - Both BPO Type",Operations/Customer Service/Telecalling/Backend
"Intern, Fresher",IT-Software,internship,"Internet/E-commerce,Mobile,web development",IT Software : Software Products & Services
"Intern, Fresher",IT-Software,"data science , junior","Internet/E-commerce,Mobile,data science",IT Software : Software Products & Services
"Intern, Fresher",IT-Software,"kharadi , project , core java","Application Programming,Internet/E-commerce,java",IT Software : Software Products & Services
"Intern, Fresher",IT-Software,"data analyst , juniors","Application Programming,Internet/E-commerce,data analyst",IT Software : Software Products & Services
"Database Architect/ Designer, Intern",IT-Software,"core python , django","Training,python",IT Software : Software Products & Services
Accountant/ Accounts Executive,IT-Software,"navi mumbai , sap fico , Accounting","Audit & Risk,Chartered Accountant/CPA,Taxation",Accounting/Tax/Company Secretary/Audit
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Technical Support Associate (Non Voice), Technical Support - Asst. Team Lead/ Mentor (Voice)",CRM/CallCentres/BPO/ITES/Med.Trans,"call center , bpo , Executive , Customer Care , customer care executive , kpo , Technical Support , technical support executive , sales , sales executive , telecaller , tele caller","Any Process - Domestic BPO Type,Any Process - International BPO Type,Technical Process,Technical/Process Training",Operations/Customer Service/Telecalling/Backend
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Telecalling/ Telemarketing/ Telesales - Executive, Telecalling/ Telemarketing/ Telesales - Team Lead/ Manager",CRM/CallCentres/BPO/ITES/Med.Trans,"call center , Customer Service , customer service executive , customer care executive , cce , bpo , Executive , sales , kpo , Technical Support , technical support executive","Any Process - Domestic BPO Type,Any Process - International BPO Type,Technical Process,Voice Process - Domestic BPO Type",Operations/Customer Service/Telecalling/Backend
Neurologist,Healthcare,"Neurologist , DM Neurologist , DNB Neurologist , Associate Consultant , Neurology",Neurology,Doctors/Nurses/Medical Professional
Other Financial Services,"Financial Services/Stockbroking,  Others - Pricing Stategist","Pricing Strategy , Business Analysis , finance , Accounts , Pricing Analyst , Pricing Strategies , Vendor Management , fresher","Finance/Budgeting,Shares Services,Portfolio/Fund Mgmt","Finance,Banks/Insurance/Financial Services"
"Sales Executive/ Officer, Sales/ Business Development Manager, Management Trainee/ Trainee, Fresher",Manufacturing/Industrial,"Marketing , sales executive , fresher , mba , Sales , field sales , wfh",Field sales,Sales/Business Development
"Sales Executive/ Officer, Sales/ Business Development Manager",Hotel/Travel/Tourism/Airlines/Hospitality,"sales , counselling , Client Relationships , team handling",Telesales,Sales/Business Development
"Design Engineer - Civil/ Structural, Fresher","IT-Hardware/Networking,  Manufacturing/Industrial",Plumbing Design,"Automotive,Civil",Engg. project Mgmt./site Engg./Civil Engg.
"Export/ Import - Agent, Courier/ Transit Centre - Executive/ Manager, Other Logistics, Fresher","Agriculture/Forestry/Fishing,  Export/Import/Merchandising","good packing , Housewife , 10th , 12th","Agent,Couriers,Packaging,Warehouse","Export/Import,Materials/Logistics/Supply Chain Mgmt/Procurement"
"Export/ Import - Agent, Fresher, Other Logistics, Fresher","Agriculture/Forestry/Fishing,  Export/Import/Merchandising","good packing , 10th below","Agent,Couriers,Packaging,Warehouse","Export/Import,Materials/Logistics/Supply Chain Mgmt/Procurement"
Other Packaging,Printing/Packaging,"Work From Home , Packing Jobs , Home Packing Jobs",Packaging,Production/Manufacturing/Maintenance/Packaging
"Export/ Import - Agent, Export/ Import - Manager","Export/Import/Merchandising,  Logistics/Freight Forward/Distribution/Courier","Good Packing , Work From Home Job , 10TH , 12TH , Housewife","Trader,Administration","Administration,Export/Import"
Fresher,Automobiles/Auto Component/Auto Ancillary,"Auto CAD Mechanical , Auto Cad , cad engineer , catia , Solid Works , Ansys , Hypermesh , production , quality , Maintenance Material , mechanical",Automotive,Engg. project Mgmt./site Engg./Civil Engg.
Fresher,Construction/Cement/Metal/Steel/Iron,"Construction , civil , Site , project , Civil Drafting , Civil Project",Civil,Engg. project Mgmt./site Engg./Civil Engg.
Software Testing Engineer/ Test Automation Engineer,IT-Software,"Software Testing , software test engineer , software engineer , software developer , senior software engineer , Automated Testing  Manual Testing , Automation , Manual , Qtp",Application Programming,IT Software : Software Products & Services
Software Developer/ Programmer,IT-Software,"java , Jsp , Servlets , Struts , Hibernate , Springs , Jdbc , Eclipse , J2ee , Tomcat",Application Programming,IT Software : Software Products & Services
"Recruitment - Head, Recruitment Consultant",IT-Software,"Recruiter , hr recruiter , hr executive , back office executive , HR , Human Resourcs , HR Administration , admin assistant , back office , associate , HR Payroll , Recruitment",Recruitment,HR/PM/IR/Training
Store Manager/ Warehouse Manager,"Export/Import/Merchandising,  Logistics/Freight Forward/Distribution/Courier","Good Packing , work from home job , 10th , 12th , housewife","Freight/Logistics,Purchase","Export/Import,Top Management"
"Accountant/ Accounts Executive, Accounting/ Auditing Clerk",Accounting-Tax/Consulting,"Accounting , Tax , Financial , Legal , finance , Banking , Cash , tally , Ms Office , accountant , junior accountant , Commerce , Audit , Bank , Compliance","Audit & Risk,Bookkeeping,Chartered Accountant/CPA",Accounting/Tax/Company Secretary/Audit
Fresher,IT-Software,"Software Developing , front office executive , software engineer , associate consultant , business analyst , java , asp.net , developer , programmer , web developer , python",Application Programming,IT Software : Software Products & Services
Software Developer/ Programmer,IT-Software,"java , Html , Css , asp.net , Data Analysis , data analyst , Python Scripting , salesforce , Salesforce.com , software engineer , software developer , developer , c ++ , Sql , oracle",Application Programming,IT Software : Software Products & Services
Customer Care Executive/ Associate - Voice,Hotel/Travel/Tourism/Airlines/Hospitality,"Possessing excellent product knowledge to enhance customer support , Resolving customer complaints brought to your attention",Voice Process - Both BPO Type,Operations/Customer Service/Telecalling/Backend
Other Packaging,Printing/Packaging,"Work From Home , Packing Jobs , Product Packing jobs , Home Packing Jobs",Packaging,Production/Manufacturing/Maintenance/Packaging
"Courier/ Transit Centre - Executive/ Manager, Logistics - Executive/ Officer, Logistics Manager/ Head, Store Keeper/ Warehouse Assistant","Export/Import/Merchandising,  Logistics/Freight Forward/Distribution/Courier","work from home job , packing job , 10th , 12th , student , housewife","Production,Couriers,Logistics,Material Management","Export/Import,Materials/Logistics/Supply Chain Mgmt/Procurement"
"Export/ Import - Agent, Trader, Fresher, Fresher","Agriculture/Forestry/Fishing,  Export/Import/Merchandising","good packing , 10th , work from home , student","Agent,Couriers,Packaging,Warehouse","Export/Import,Materials/Logistics/Supply Chain Mgmt/Procurement"
Site/ Field Engineer - Electrical,Consulting Services,Mechanical Electrical Engineering,Electrical/Electronic,Engg. project Mgmt./site Engg./Civil Engg.
Other Packaging,Printing/Packaging,"Work From Home , Packing Jobs , Home Packing Product",Packaging,Production/Manufacturing/Maintenance/Packaging
"Service/ Maintenance Engineer/ Manager, Sales Executive/ Officer",Biotechnology/Pharmaceutical/Medicine,"Biomedical engineering , service engineer , Medical Equipment , biomedical engineer","Production Management,Medical/Pharmaceutical","Production/Manufacturing/Maintenance/Packaging,Sales/Business Development"
"Management Trainee/ Trainee, Intern, Fresher","IT-Hardware/Networking,  Recruitment/Placement Agencies","""US IT recruiter"" , ""HR Recruiter"" , ""IT recruiter""","Customer Support,Technical Writing,Training","IT Hardware : Hardware Products & Services,IT Software : Software Products & Services"
"Telecalling/ Telemarketing/ Telesales - Executive, Data Entry/ DTP/ Data Conversion - Operator, Process Associate, MIS Executive","Advertising/PR/Event Management,  Telecom","be , Btech , ba , bcom , engineer , software engineer , bhm , marketing , receptionist , freshers , housewives , students , bachelor , mSC , phd , graduate , 12 pass , working , Home based , Bsc","Application Programming,Data Warehousing,Desktop Support,Data entry","IT Software : Software Products & Services,Front Office Staff/Secretarial/Computer Operator"
Management Trainee/ Trainee,"Advertising/PR/Event Management,  Healthcare","be , Btech , ba , bsc , bcom , engineer , software engineer , network engineer , bhm , marketing , sales , nurse , receptionist , freshers , housewives , students , bachelor , mSC , phd , graduate","Direct marketing,Direct/Commission Sales,Retail Sales,Telesales","Advertising/PR/Events,Sales/Business Development"
"Management Trainee/ Trainee, Fresher, Intern","Banking,  CRM/CallCentres/BPO/ITES/Med.Trans","be , Btech , ba , bcom , engineer , software engineer , network engineer , bhm , marketing , nurse , receptionist , freshers , housewives , students , bachelor , mSC , phd , graduate","Analytical Chemistry,Desktop Support,Training","Bio Tech/R&D/Scientist,IT Software : Software Products & Services"
Opthalmologist,Healthcare,MD / DNB / DOMS,Ophthalmology,Doctors/Nurses/Medical Professional
"Marketing Communications/ MarCom - Executive/ Officer, Marketing Executive, Online/ Internet Marketing - Executive/ Manager, International Marketing/ Business - Manager/ Executive","Others - Water & Waste Water Treatment, Resins & Phama, Chemicals, etc","Google Ads , SEM , SEO , Social Media Marketing , Brand Building , Graphic Designing , Online Marketing , B2B Marketing , Marketing Strategy , Lead Generation , Digital Marketing","Marketing Strategy,Telemarketing,Corporate Sales,Telesales","Marketing/MR/Media Planning,Sales/Business Development"
"Customer Care Executive/ Associate - Voice, Technical Support Associate (Voice), Subject Matter Expert (SME)",CRM/CallCentres/BPO/ITES/Med.Trans,"""Customer support"" , ""International Process"" , ""Call Centre Voice Process"" , ""Telecalling"" , Good Communication , International Calls","Any Process - International BPO Type,Blended Process - International BPO Type,Non-Voice Process - International BPO Type,Voice Process - International BPO Type",Operations/Customer Service/Telecalling/Backend
Customer Care Executive/ Associate - Voice,CRM/CallCentres/BPO/ITES/Med.Trans,"Customer Service Executive , communication",Any Process - International BPO Type,Operations/Customer Service/Telecalling/Backend
"Export/ Import - Agent, Courier/ Transit Centre - Executive/ Manager, Transport/ Fleet - Executive/ Manager, Fresher","Agriculture/Forestry/Fishing,  Export/Import/Merchandising",good packing,"Agent,Couriers,Import/Export,Logistics","Export/Import,Materials/Logistics/Supply Chain Mgmt/Procurement"
"Export/ Import - Agent, Fresher, Transport/ Fleet - Executive/ Manager, Fresher",Export/Import/Merchandising,"good packing , 10th below","Agent,Couriers,Packaging,Warehouse","Export/Import,Materials/Logistics/Supply Chain Mgmt/Procurement"
Other Doctor/ Physician,Healthcare,"Emergency Medicine , MD Emergency Medicine , DNB Emergency Medicine , Senior Registrar , Senior Registrar Emergency Medicine",Emergency Medicine,Doctors/Nurses/Medical Professional
Other Customer Service,Financial Services/Stockbroking,"Communication Skills , Voice Process , Customer Care executive",Any Process - Both BPO Type,Operations/Customer Service/Telecalling/Backend
System Administrator,IT-Software,"Software installation , DHCP , DNS , Group policy , Networking , MS Office , Outlook Configuration",Desktop Support,IT Software : Software Products & Services
"Air Hostess/ Flight Steward/ Cabin Crew, Air Freight Agent, Air Traffic Controller, Airline Security Representative","Hotel/Travel/Tourism/Airlines/Hospitality,  Logistics/Freight Forward/Distribution/Courier","Application Development , Database , Ground Staff ,  Air ticketing , Air Hostess  , Executive , customer support engineer , network engineer , engineer , system engineer","Air Hostess,Cabin Crew,Ground Staff,Ticketing",Ticketing/Reservation/Travel Agent/Airlines
Technical Support Associate (Non Voice),CRM/CallCentres/BPO/ITES/Med.Trans,"Desktop Support , technical support engineer , desktop engineer , Technical Voice Process , Communication",Technical Process,Operations/Customer Service/Telecalling/Backend
Customer Care Executive/ Associate - Voice,CRM/CallCentres/BPO/ITES/Med.Trans,"Customer support , BPO , International Process , Call Centre Voice Process , inbound Process , Tele Caller , Telecalling , Customer Service , customer service executive","Any Process - Both BPO Type,Any Process - Domestic BPO Type,Any Process - International BPO Type,Voice Process - Both BPO Type",Operations/Customer Service/Telecalling/Backend
Customer Care Executive/ Associate - Voice,CRM/CallCentres/BPO/ITES/Med.Trans,"Customer Care , Communication , Team Player , Good Communication",Any Process - International BPO Type,Operations/Customer Service/Telecalling/Backend
"Courier/ Transit Centre - Executive/ Manager, Transport/ Fleet - Executive/ Manager, Other Logistics","Agriculture/Forestry/Fishing,  Export/Import/Merchandising","good packing , work from home job , 10th","Couriers,Logistics,Packaging,Warehouse",Materials/Logistics/Supply Chain Mgmt/Procurement
Other Packaging,Printing/Packaging,Work From Home Jobs,Packaging,Production/Manufacturing/Maintenance/Packaging
Other Packaging,Printing/Packaging,"Packing Jobs , Work From Home , Good Product  Packing",Packaging,Production/Manufacturing/Maintenance/Packaging
"Intern, Fresher",IT-Software,"react js , Html","Internet/E-commerce,Mobile,react js",IT Software : Software Products & Services
"Intern, Fresher",IT-Software,"requirement , core python","Internet/E-commerce,Mobile,core python",IT Software : Software Products & Services
"Database Architect/ Designer, Intern",IT-Software,"C , navi mumbai , Core Java  c ++","Training,core java",IT Software : Software Products & Services
"Database Architect/ Designer, Intern",IT-Software,"requirement , data analytics","Training,data analytics",IT Software : Software Products & Services
"Intern, Fresher",IT-Software,"freshers , requirement , aws","Application Programming,Internet/E-commerce,aws",IT Software : Software Products & Services
"Intern, Fresher",IT-Software,"data science , kharadi , project","Application Programming,Internet/E-commerce,data science",IT Software : Software Products & Services
Operations Manager,Financial Services/Stockbroking,"Company Secretary , Compliance , SEBI , Communication skill , Dealing with a stakeholder",Company Secretary,Accounting/Tax/Company Secretary/Audit
"Export/ Import - Agent, Store Manager/ Warehouse Manager, Other Export/ Import, Fresher","Export/Import/Merchandising,  Manufacturing/Industrial","work from home , packing job , 10th , 12th , student , housewife","Agent,Freight/Logistics,Production,Couriers","Export/Import,Materials/Logistics/Supply Chain Mgmt/Procurement"
Technical Support Associate (Voice),CRM/CallCentres/BPO/ITES/Med.Trans,Good ommunication,Technical Process,Operations/Customer Service/Telecalling/Backend
Telecalling/ Telemarketing/ Telesales - Executive,CRM/CallCentres/BPO/ITES/Med.Trans,"Lead Generation , Solar process , Australian BPO , Australian Process , International BPO , International Voice Process , International sales process , TSO , TSE , Telesales","Telemarketing,Voice Process - International BPO Type",Operations/Customer Service/Telecalling/Backend
"Customer Care Executive/ Associate - Voice, Other Customer Service","CRM/CallCentres/BPO/ITES/Med.Trans,  Consulting Services","Sales Executive , Customer Relation , Sales , Marketing , Lead Generation , Business Advisor , Business Consultant , Executive , Representative","Any Process - Both BPO Type,Any Process - Domestic BPO Type,Any Process - International BPO Type,Corporate Planning/Strategy","Operations/Customer Service/Telecalling/Backend,Corporate Planning/Consulting/Strategy"
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Customer Service Manager/ Head, Telecalling/ Telemarketing/ Telesales - Executive",CRM/CallCentres/BPO/ITES/Med.Trans,"call center , Customer Service , customer service executive , customer care executive , cce , bpo , Customer , Executive , kpo , Technical Support , technical support executive","Any Process - Domestic BPO Type,Any Process - International BPO Type,Non Voice Process - Both BPO Type,Non-Voice Process - Domestic BPO Type",Operations/Customer Service/Telecalling/Backend
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Technical Support Associate (Non Voice), Technical Support - Asst. Team Lead/ Mentor (Voice)",CRM/CallCentres/BPO/ITES/Med.Trans,"call center , Customer Service , customer service executive , customer care executive , cce , kpo , Technical Support , technical support executive , executive , sales","Any Process - Domestic BPO Type,Any Process - International BPO Type,Non Voice Process - Both BPO Type,Non-Voice Process - Domestic BPO Type",Operations/Customer Service/Telecalling/Backend
Gynaecologist,Healthcare,"Registrar , Gynaecology , Gynaecologist , Sr Registrar , DGO , DGO Gynaecologist",Gynaecology,Doctors/Nurses/Medical Professional
Gynaecologist,Healthcare,"Registrar , Gynaecology , Gynaecologist , MS Gynaecology , DNB Gynaecology , MD Gynaecology , Sr Registrar",Gynaecology,Doctors/Nurses/Medical Professional
Surgeon,Healthcare,"Senior Resident , General Surgery , MS General Surgery , DNB General Surgery , Senior Resident General Surgery",Surgery,Doctors/Nurses/Medical Professional
Other Channel Sales/ Retail Sales,Financial Services/Stockbroking,Telesale marketing,Telesales,Sales/Business Development
Architect,"Architecture/Interior Design,  Construction/Cement/Metal/Steel/Iron","communication skills , analytical skills , creativity , Design Development , Auto Cad , draughtsman","Architecture,Interior Designer",Architects/Interior Design/Naval Arch
"Marketing Executive, Online/ Internet Marketing - Executive/ Manager, SEO/ Online Advertising - Executive/ Manager","Defence,  Software Services","""digital marketing"" , ""seo"" , ""social media marketing"" , ""link building"" , ""web analytics"" , ""google analytics"" , ""graphics design""",digital marketing,Marketing/MR/Media Planning
Customer Care Executive/ Associate - Voice,CRM/CallCentres/BPO/ITES/Med.Trans,"customer support , bpo",Any Process - Both BPO Type,Operations/Customer Service/Telecalling/Backend
"HR Consultant, HR Executive/ Officer, Recruitment - Executive/ Officer, Recruitment - Manager",Recruitment/Placement Agencies,"Recruitment , Talent Acquisition , communication , Resume Screening , sourcing",Recruitment,HR/PM/IR/Training
ENT Specialist,Healthcare,"Senior Resident , MS ENT , DNB ENT , Senior Resident ENT",ENT Specialist,Doctors/Nurses/Medical Professional
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Technical Support Associate (Non Voice), Technical Support - Asst. Team Lead/ Mentor (Voice)",CRM/CallCentres/BPO/ITES/Med.Trans,"call center , Customer Service , customer service executive , customer care executive , cce , bpo , Executive , sales , kpo , Technical Support , technical support executive","Any Process - Domestic BPO Type,Any Process - International BPO Type,Non Voice Process - Both BPO Type,Non-Voice Process - Domestic BPO Type",Operations/Customer Service/Telecalling/Backend
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Telecalling/ Telemarketing/ Telesales - Executive, Technical Support Associate (Voice)",CRM/CallCentres/BPO/ITES/Med.Trans,"Call Centre Outbound , call center , Customer Service , customer service executive , customer care executive , call coordinator , computer operator , data entry , Customer Care","Any Process - Domestic BPO Type,Any Process - International BPO Type",Operations/Customer Service/Telecalling/Backend
Gynaecologist,Healthcare,"Gynaecology , MS Gynaecology , DNB Gynaecology , Senior Resident , Senior Resident Gynaecology , Gynaecologist",Gynaecology,Doctors/Nurses/Medical Professional
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Team Lead - Voice, Telecalling/ Telemarketing/ Telesales - Executive",CRM/CallCentres/BPO/ITES/Med.Trans,"call center , Customer Service , customer service executive , customer care executive , cce , bpo , Customer , Executive , kpo , Technical Support , technical support engineer","Any Process - Domestic BPO Type,Non Voice Process - Both BPO Type,Non-Voice Process - Domestic BPO Type,Non-Voice Process - International BPO Type",Operations/Customer Service/Telecalling/Backend
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Telecalling/ Telemarketing/ Telesales - Executive, Telecalling/ Telemarketing/ Telesales - Team Lead/ Manager",CRM/CallCentres/BPO/ITES/Med.Trans,"call center , Customer Service , customer service executive , customer care executive , cce , kpo , Technical Support , technical support executive , executive , sales executive","Blended Process - Domestic BPO Type,Blended Process - International BPO Type,Non-Voice Process - Domestic BPO Type,Non-Voice Process - International BPO Type",Operations/Customer Service/Telecalling/Backend
Fresher,Construction/Cement/Metal/Steel/Iron,"Fire Safety , Fire Engineering , Fireman , Fire Alarm System , Fire Fighting , Safety , Fire Prevention , Fire Protection , Safety Management , Risk Assessment , Site Safety",Safety/ Health,Production/Manufacturing/Maintenance/Packaging
"Administration Clerk, Data Management/ Statistics, Biotechnology - Research Associate, Lab Technician/ Lab Staff","Agriculture/Forestry/Fishing,  Consulting Services","Agronomy , Sugarbeet , Statistical analysis , Research","Administration,Bio-Technology Research,Documentation/ Medical Writing,Laboratory work","Administration,Bio Tech/R&D/Scientist"
Orthopaedician,Healthcare,"Senior Resident , Orthopedics , MS Orthopedics , DNB Orthopedics , Senior Resident Orthopedics",Orthopaedics,Doctors/Nurses/Medical Professional
Anesthetist,Healthcare,"Anaesthesia , MD Anaesthesia , DNB Anaesthesia , Senior Resident , Senior Resident Anaesthesia",Anaesthetist,Doctors/Nurses/Medical Professional
Logistics - Executive/ Officer,Printing/Packaging,"Packing Materials , packing",Customs,Materials/Logistics/Supply Chain Mgmt/Procurement
"Design Engineer - Electrical, Draftsman/ Draughtsman - Electrical","Automobiles/Auto Component/Auto Ancillary,  Manufacturing/Industrial","MEP , Drawing , Auto Cad , revit , 3ds Max","HVAC,Mechanical",Engg. project Mgmt./site Engg./Civil Engg.
Customer Care Executive/ Associate - Voice,CRM/CallCentres/BPO/ITES/Med.Trans,Good communication,Voice Process - International BPO Type,Operations/Customer Service/Telecalling/Backend
Customer Care Executive/ Associate - Voice,CRM/CallCentres/BPO/ITES/Med.Trans,Fluent in hindi and good in english,Voice Process - Domestic BPO Type,Operations/Customer Service/Telecalling/Backend
"Database Administrator (DBA), Software Developer/ Programmer, Fresher, Database Architect/ Designer","IT-Software,  Software Services","c , Java , J2ee , Jsp , Oracle , c ++ , Sql , erp , Microsoft Technologies , Web Technologies , Database , Ms Sql Server , Sql Server","Application Programming,Business/Systems Analysis,Client Server,Database Administration (DBA)",IT Software : Software Products & Services
"Design Engineer - Electrical, Draftsman/ Draughtsman - Electrical, Quality Engineer - Electrical",Engineering/Projects,"Electrical Engineer  , engineer , Btech , be , diploma , design , Telecommunications , Electronics , Switch Gears","Electrical/Electronic,Telecom",Engg. project Mgmt./site Engg./Civil Engg.
"Fresher, Delivery Manager/ Head, Software Developer/ Programmer, Fresher",IT-Software,"ASP .net c# SQL , Ms Sql Server , Visual Basic , vb , c ++ , ASP .net Web Development , Html , .net , dot net developer , application developer , fresher , software engineer , mocrosoft","Application Programming,Business/Systems Analysis,Client Server,Software Engineer",IT Software : Software Products & Services
"Sales Executive/ Officer, Management Trainee/ Trainee","Advertising/PR/Event Management,  Hotel/Travel/Tourism/Airlines/Hospitality","be , Btech , ba , bsc , software engineer , bhm , marketing , sales , nurse , freshers , housewives , students , bachelor , mSC , phd , graduate , bca , Home based work , Part time work , data entry","Administration,Office Management & Coordination,Data entry,Front Office","Administration,Front Office Staff/Secretarial/Computer Operator"
"Computer Operator/ Data Entry Operator, Front Office Assistant/ Executive, Advertising - Account Executive/ Client Servicing Executive","Advertising/PR/Event Management,  Construction/Cement/Metal/Steel/Iron","be , Btech , ba , bsc , bcom , engineer , software engineer , bhm , marketing , sales , nurse , receptionist , freshers , housewives , students , bachelor , mSC , phd , graduate , Admin","Office Management & Coordination,Telemarketing,Trade Marketing","Administration,Marketing/MR/Media Planning"
"Sales Executive/ Officer, IT Sales/ Technical Sales - Executive, Real Estate Agent, Sales Engineer","Advertising/PR/Event Management,  Hotel/Travel/Tourism/Airlines/Hospitality","be , Btech , ba , bsc , bcom , software engineer , marketing , freshers , housewives , students , bachelor , mSC , graduate , mcom , Computer operator , part time , home. Based , data entry","Teacher,Client Servicing,Healthcare Sales,IT/Telecommunications","Teaching/Education,Sales/Business Development"
"Fresher, Management Trainee/ Trainee","Advertising/PR/Event Management,  Banking","be , Btech , ba , bcom , engineer , software engineer , bhm , marketing , sales , nurse , freshers , housewives , students , bachelor , mSC , graduate , computer operator , data entry , Home base","Direct marketing,Direct/Commission Sales,Retail Sales,Telesales","Advertising/PR/Events,Sales/Business Development"
"Payroll/ Compensation - Executive, Payroll/ Compensation - Manager, Operations Executive/ Manager, Reservation/ Ticketing Officer","Hotel/Travel/Tourism/Airlines/Hospitality,  Marine/Aviation/Military/Mining/Shipping","Payroll , Employee , Management , Marketing , software engineer , senior software engineer","Import/Export Accounting,Cabin Crew,Ground Staff,Ticketing","Accounting/Tax/Company Secretary/Audit,Ticketing/Reservation/Travel Agent/Airlines"
Lecturer/ Professor/ Reader,Educational/Training,Teaching,Special Education Teaching,Teaching/Education
"Database Administrator (DBA), System Administrator, Software Installation Engineer, Fresher",IT-Software,"java , c ++ , Html , Css , Ajax , Asp.net , testing ,  , qa ,  , Manual Testing , software engineer , programmer , dataWARE , embedded , php , Javascript","Application Programming,Business/Systems Analysis,Client Server,Database Administration (DBA)",IT Software : Software Products & Services
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Telecalling/ Telemarketing/ Telesales - Executive, Quality - Coach/ Analyst",CRM/CallCentres/BPO/ITES/Med.Trans,"bpo , Customer , callcentre , voice , Telecalling , Customer Service , team leader , business analyst , sas developer , mis , it executive , customer support executive","Account Services,Any Process - Both BPO Type,Non Voice Process - Both BPO Type,Telemarketing",Operations/Customer Service/Telecalling/Backend
"Biotechnology - Research Associate, Microbiologist, Research Engineer, Management Trainee/ Trainee",Biotechnology/Pharmaceutical/Medicine,"medical rip , Pharmaceutical , Medicine , sales , sales executive , sales manager , business development manager , marketing , healthcare sales , medical represetative ,","Pharmaceutical Research,Pharmacist/Chemist/Bio Chemist,Medical Rep.,Microbiology","Bio Tech/R&D/Scientist,Doctors/Nurses/Medical Professional"
"Configuration/ Release Manager, Database Architect/ Designer, Software Developer/ Programmer, Fresher","IT-Software,  Software Services","java , J2ee , Struts , Jsp , Jdbc , Servlets , Weblogic , Web Server , Software Engg , Web Application , Application Development","Application Programming,Business/Systems Analysis,Client Server,Project Leader/ Project Manager",IT Software : Software Products & Services
"Industrial Engineer, Product Manager, Quality Assurance/ Control - Manager, Management Trainee/ Trainee",Engineering/Projects,"Quality , production  , production engineer , project engineer , maintanence engineer , be , btech , diploma , mechanical , Manufacturing , Electrical","Design Engineering,Engineering,Product Development,Production/Manufacturing/Maintenance",Production/Manufacturing/Maintenance/Packaging
"Configuration/ Release Manager, Software Developer/ Programmer, Fresher, Database Administrator (DBA)",IT-Software,"Software Engineer , java , c ++ , Oracle , Vb , Asp , Asp.net , sql , C , Html , Javascript , Php , Ajax , Xml","Application Programming,Database Administration (DBA),Quality Assurance/Testing,Software Engineer",IT Software : Software Products & Services
"Intern, Fresher",IT-Software,"data science , Sql , requirement","Internet/E-commerce,Mobile,data science",IT Software : Software Products & Services
"Intern, Fresher",IT-Software,"mobile app , flutter","Internet/E-commerce,Mobile,flutter",IT Software : Software Products & Services
"Intern, Fresher",IT-Software,"freshers , data analyst  , requirement","Application Programming,Internet/E-commerce,python",IT Software : Software Products & Services
"Intern, Fresher",IT-Software,"core python , django  , requirement","Application Programming,Internet/E-commerce,pyhon",IT Software : Software Products & Services
"Database Architect/ Designer, Intern",IT-Software,"manual testing , requirement","Training,testing",IT Software : Software Products & Services
